model,test_set,selection_metric,budget,acc,acc_hat,failures,rmse,retrain_acc,acc_improvement
lenet1,mnist,dr,50,0.9486,0.98,1,0.031399999999999983,0.9849246231155779,0.03648241206030156
lenet1,mnist,dr,100,0.9486,0.95,5,0.0013999999999999568,0.9873737373737373,0.038787878787878816
lenet1,mnist,dr,150,0.9486,0.9333333333333333,10,0.01526666666666665,0.987005076142132,0.03817258883248731
lenet1,mnist,dr,200,0.9486,0.92,16,0.02859999999999996,0.9863265306122448,0.037142857142857144
lenet1,mnist,ces,50,0.9486,1.0,0,0.0514,0.988140703517588,0.03979899497487438
lenet1,mnist,ces,100,0.9486,0.98,2,0.031399999999999983,0.9872727272727273,0.03898989898989902
lenet1,mnist,ces,150,0.9486,0.9533333333333334,7,0.004733333333333367,0.9874111675126903,0.03888324873096438
lenet1,mnist,ces,200,0.9486,0.91,18,0.03859999999999997,0.9862244897959184,0.036836734693877604
lenet1,mnist,mcp,50,0.9486,0.52,24,0.4286,0.9878391959798994,0.037085427135678306
lenet1,mnist,mcp,100,0.9486,0.54,46,0.40859999999999996,0.9867676767676767,0.03404040404040398
lenet1,mnist,mcp,150,0.9486,0.5266666666666666,71,0.4219333333333334,0.9879187817258883,0.03289340101522842
lenet1,mnist,mcp,200,0.9486,0.56,88,0.38859999999999995,0.9879591836734694,0.03142857142857136
lenet1,mnist,est,50,0.9486,0.72,14,0.22860000000000003,0.9886432160804021,0.038894472361809096
lenet1,mnist,est,100,0.9486,0.61,39,0.3386,0.9862626262626263,0.034242424242424296
lenet1,mnist,est,150,0.9486,0.7466666666666667,38,0.2019333333333333,0.9882233502538071,0.03654822335025387
lenet1,mnist,est,200,0.9486,0.695,61,0.25360000000000005,0.9881632653061224,0.03438775510204084
lenet1,mnist,rnd,50,0.9486,0.96,2,0.011399999999999966,0.989748743718593,0.04120603015075386
lenet1,mnist,rnd,100,0.9486,0.94,6,0.008600000000000052,0.9882828282828283,0.03959595959595963
